typed_by_dry,recorded_by_dry,typed_date_ymd,record_date_ymd,block ,pot_ID,treatment,fine/coarse,envelope_num,below_dry_g,remarks
SK,SK,2019-01-23,2019-01-21,B3,SITR-13,WW,fine,1,0.1703,-
SK,SK,2019-01-23,2019-01-21,B3,SITR-14,WD,fine,1,0.2019,-
SK,SK,2019-01-23,2019-01-21,B5,SITR-15,WD,fine,1,0.7615,-
SK,SK,2019-01-23,2019-01-21,B4,SITR-16,WD,fine,1,0.6562,-
SK,SK,2019-01-23,2019-01-21,B4,SITR-17,WW,fine,1,0.0144,-
SK,SK,2019-01-23,2019-01-21,B2,SITR-18,WW,fine,1,0.2726,-
SK,SK,2019-01-23,2019-01-21,B5,SITR-19,WW,fine,1,0.5129,-
SK,SK,2019-01-23,2019-01-21,B2,SITR-20,WD,fine,1,0.3949,-
GK,GK,2019-04-30,2019-04-30,B5,SOBI-01,WW,coarse,1,0.2351,"typo; changed from ""WD"" to ""WD"" (GX)"
GK,GK,2019-04-30,2019-04-30,B5,SOBI-01,WW,fine,2,2.6044,-
GK,GK,2019-04-30,2019-04-30,B5,SOBI-01,WW,fine,1,2.1195,-
GK,GK,2019-04-30,2019-04-30,B5,SOBI-01,WW,fine,3,2.6563,-
